ticker,name,exchange,is_etf
A,"Agilent Technologies, Inc. Common Stock",N,N
AA,Alcoa Corporation Common Stock,N,N
AAA,Alternative Access First Priority CLO Bond ETF,P,Y
AAAA,Amplius Aggressive Asset Allocation ETF,Z,Y
AAAC,Columbia AAA CLO ETF,P,Y
AAAU,Goldman Sachs Physical Gold ETF Shares,Z,Y
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,N
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,N
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,N
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,N
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,Y
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,Y
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,N
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,Y
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,N,N
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",N,N
AAM.W,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",N,N
AAME,Atlantic American Corporation - Common Stock,NASDAQ,N
AAMI,Acadian Asset Management Inc. Common Stock,N,N
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,N
AAON,"AAON, Inc. - Common Stock",NASDAQ,N
AAP,Advance Auto Parts Inc.,N,N
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,Y
AAPD,Direxion Daily AAPL Bear 1X Shares,NASDAQ,Y
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N
AAPL,Apple Inc. - Common Stock,NASDAQ,N
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Z,Y
AAPU,Direxion Daily AAPL Bull 2X Shares,NASDAQ,Y
AAPW,Roundhill AAPL WeeklyPay ETF,Z,Y
AAPX,T-Rex 2X Long Apple Daily Target ETF,Z,Y
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Z,Y
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N
AAT,"American Assets Trust, Inc. Common Stock",N,N
AAUC,Allied Gold Corporation Common Shares,N,N
AAUM,Tema Alternative Asset Managers ETF,Z,Y
AAUS,Alpha Architect US Equity ETF,NASDAQ,Y
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,Y
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,Y
AB,AllianceBernstein Holding L.P.  Units,N,N
ABAT,American Battery Technology Company - Common Stock,NASDAQ,N
ABBV,AbbVie Inc. Common Stock,N,N
ABCB,Ameris Bancorp Common Stock,N,N
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,N
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,Y
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N
ABEQ,Absolute Select Value ETF,P,Y
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,N
ABFL,Abacus FCF Leaders ETF,Z,Y
ABG,Asbury Automotive Group Inc Common Stock,N,N
ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,Y
ABIG,Argent Large Cap ETF,NASDAQ,Y
ABLD,Abacus FCF Real Assets Leaders ETF,Z,Y
ABLG,Abacus FCF International Leaders ETF,Z,Y
ABLS,Abacus FCF Small Cap Leaders ETF,Z,Y
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,N
ABLVW,Able View Global Inc. - Warrant,NASDAQ,N
ABM,ABM Industries Incorporated Common Stock,N,N
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,N
ABNG,Leverage Shares 2x Long ABNB Daily ETF,NASDAQ,Y
ABNY,YieldMax ABNB Option Income Strategy ETF,P,Y
