book,sheet,ttb,time_min,time_max,observed_seconds,theoretical_seconds,n_gaps,missing_total_seconds,longest_start,longest_end,longest_len_s,longest_len_min,avg_len_s,avg_len_min,n_windows,min_window_len_used
Book1,pending_edges_ttb10,10,23,21893,21871,21871,0,0,16421,16588,168,2.8,140.4627,2.341,134,1
Book1,pending_edges_ttb20,20,13,21893,21881,21881,0,0,21718,21873,156,2.6,121.0,2.0167,132,1
Book1,pending_edges_ttb30,30,3,21893,21891,21891,0,0,16411,16568,158,2.6333,112.2662,1.8711,139,1
Book1,pending_edges_ttb40,40,0,21893,21894,21894,0,0,16411,16558,148,2.4667,114.155,1.9026,129,1
Book1,pending_edges_ttb50,50,0,21893,21894,21894,0,0,16411,16548,138,2.3,101.8626,1.6977,131,1
Book1,pending_edges_ttb60,60,0,21893,21894,21894,0,0,16411,16538,128,2.1333,92.9844,1.5497,128,1
Book1,pending_edges_ttb70,70,0,21893,21894,21894,0,0,16411,16528,118,1.9667,84.912,1.4152,125,1
Book1,pending_edges_ttb80,80,0,21893,21894,21894,0,0,16411,16518,108,1.8,79.056,1.3176,125,1
Book1,pending_edges_ttb90,90,0,21893,21894,21894,0,0,16411,16508,98,1.6333,70.8,1.18,120,1
Book1,pending_edges_ttb100,100,0,21893,21894,21894,0,0,16411,16498,88,1.4667,64.575,1.0763,120,1
Book1,pending_edges_ttb110,110,0,21893,21894,21894,0,0,16411,16488,78,1.3,57.453,0.9575,117,1
Book1,pending_edges_ttb120,120,0,21893,21894,21894,0,0,16411,16478,68,1.1333,49.2458,0.8208,118,1
Book1,pending_edges_ttb130,130,0,21893,21894,21894,0,0,16411,16468,58,0.9667,39.9652,0.6661,115,1
Book1,pending_edges_ttb140,140,0,21893,21894,21894,0,0,16411,16458,48,0.8,31.7544,0.5292,114,1
